date,t,cp_location,cp_location_norm,cp_score
2013-01-18,12,3.9899194155285604,0.6675067153726199,0.7346997117606303
2013-01-22,13,6.00369609563703,0.5830253253635808,0.5861321596833413
2013-01-23,14,11.01837951987642,0.24846837334363162,0.5490035570487196
2013-01-24,15,8.988558790514826,0.5009534341237645,0.5807426123102397
2013-01-25,16,15.999800761664169,1.6603194652612768e-05,0.9443014615011102
2013-01-28,17,15.01692427677328,0.1652563102688934,0.9443340244058793
2013-01-29,18,15.040244453449045,0.2466462955459129,0.8996812156687526
2013-01-30,19,15.293156277825855,0.3089036435145121,0.8181687310488093
2013-01-31,20,11.272043667505303,0.7273296943745581,0.6582751647016521
2013-02-01,21,11.356800370969268,0.8035999690858944,0.691926872149994
2013-02-04,22,11.058509855376121,0.9117908453853233,0.6671753084207506
2013-02-05,23,17.968105074499448,0.419324577125046,0.7151554343914344
2013-02-06,24,17.337436405254184,0.5552136328954846,0.7718737611069614
2013-02-07,25,17.020301864751694,0.6649748446040255,0.6564352893086051
2013-02-08,26,16.992832946790756,0.7505972544341036,0.7237432717822673
2013-02-11,27,16.967145870365293,0.836071177469559,0.843785536864081
2013-02-12,28,27.21300589762172,0.06558284186485668,0.999854908671188
2013-02-13,29,27.439754213146056,0.13002048223782867,0.998801652838469
2013-02-14,30,27.064344871586655,0.2446379273677787,0.9987314565018678
2013-02-15,31,25.31108102600097,0.47407658116658585,0.9945497871409761
2013-02-19,32,21.94636821859239,0.8378026484506341,0.9986601242209336
2013-02-20,33,25.514515079822637,0.6237904100147803,0.9894180678046748
2013-02-21,34,27.18169257459148,0.56819228545071,0.9946903116879104
2013-02-22,35,28.9614053373739,0.5032162218855083,0.8106356911030221
2013-02-25,36,28.95110845961412,0.5874076283654901,0.8323113391029819
2013-02-26,37,28.9993239383904,0.6667230051341333,0.8220986793893217
2013-02-27,38,28.95993703895037,0.7533385800874693,0.8553419686484702
2013-02-28,39,37.71060392685808,0.10744967276182689,0.9229189801943515
2013-03-01,40,28.0,1.0,0.9754773353278734
2013-03-04,41,35.000399885203564,0.49996667623303637,0.5436660858242035
2013-03-05,42,38.09300617859943,0.3255828184500474,0.7412524893290802
2013-03-06,43,38.06942882146086,0.4108809315449283,0.8616434813421786
2013-03-07,44,38.29255998907976,0.47562000091001977,0.9504518120953428
2013-03-08,45,38.17661060350997,0.5686157830408357,0.9834234691175066
2013-03-11,46,39.99902275771178,0.5000814368573518,0.9476618504776807
2013-03-12,47,38.01905355332401,0.7484122038896661,0.9754258361475249
2013-03-13,48,37.46517809861504,0.8779018251154133,0.9662292553576102
2013-03-14,49,38.00097930684181,0.9165850577631822,0.910184178875203
2013-03-15,50,46.027857047856415,0.3310119126786321,0.6864654020543848
2013-03-18,51,46.01688118262373,0.4152599014480227,0.7267975789978818
2013-03-19,52,46.0134212716012,0.49888156069989975,0.632128258783222
2013-03-20,53,46.013214475070114,0.5822321270774905,0.6069199017414384
2013-03-21,54,46.03494538431393,0.6637545513071726,0.6430091422102718
2013-03-22,55,52.32861656984146,0.2226152858465452,0.5647110974577576
2013-03-25,56,52.008754290368756,0.33260380913593696,0.5661556734197426
2013-03-26,57,50.99638284976547,0.500301429186211,0.5487140936176489
2013-03-27,58,51.15427131466658,0.5704773904444517,0.5970407589655602
2013-03-28,59,54.95029097148206,0.33747575237649485,0.8807472337930666
2013-04-01,60,54.97612873887461,0.41865593842711607,0.7638302972610488
2013-04-02,61,56.11620742663785,0.40698271444684586,0.9700002865176591
2013-04-03,62,54.47057387709335,0.6274521769088874,0.9758444117719977
2013-04-04,63,53.799206263573964,0.7667328113688363,0.9102332230126098
2013-04-05,64,54.294535260012815,0.8087887283322654,0.9385195122678297
2013-04-08,65,53.00000000000666,0.9999999999994452,0.9434268754825288
2013-04-09,66,58.753011217393485,0.6039157318838763,0.6776659523888846
2013-04-10,67,58.80350612419119,0.683041156317401,0.7581270634769673
2013-04-11,68,62.994357892149836,0.417136842320847,0.8928677093686131
2013-04-12,69,62.99710685165641,0.5002410956952991,0.8529733298656687
2013-04-15,70,69.9999997845215,1.795654114289391e-08,0.9985022214576708
2013-04-16,71,69.45150956298563,0.1290408697511971,0.9925867681207952
2013-04-17,72,68.4614927528321,0.2948756039306583,0.9758913336014976
2013-04-18,73,68.19334010239413,0.40055499146715573,0.9545882962386083
2013-04-19,74,69.12144781579855,0.4065460153501211,0.9789950318745728
2013-04-22,75,65.59390544724597,0.7838412127295022,0.9921656582058166
2013-04-23,76,68.49428435300926,0.6254763039158947,0.982517137385758
2013-04-24,77,71.7413318014349,0.43822234988042535,0.629713238777485
2013-04-25,78,76.9612717070046,0.0865606910829501,0.9587526352415336
2013-04-26,79,76.9218094636646,0.17318254469461655,0.9391649728137433
2013-04-29,80,76.91883019215153,0.256764150654039,0.9366058002450453
2013-04-30,81,71.06069183368427,0.8282756805263105,0.7752063906458708
2013-05-01,82,70.00000956604791,0.9999992028293411,0.8669644381498574
2013-05-02,83,80.09038368470945,0.2424680262742124,0.8203362884892981
2013-05-03,84,80.02159467348582,0.3315337772095148,0.8538694382977837
2013-05-06,85,80.00796479324137,0.41600293389655246,0.84892285361868
2013-05-07,86,80.01091501569931,0.49909041535839077,0.8423776889569806
2013-05-08,87,80.01079898556358,0.5824334178697015,0.777233577805244
2013-05-09,88,84.07944631141741,0.3267128073818822,0.9829843507558379
2013-05-10,89,84.42736739765479,0.38105271686210074,0.8264788804133127
2013-05-13,90,84.35381024613756,0.4705158128218703,0.9126946921405118
