date,t,cp_location,cp_location_norm,cp_score
2013-01-18,12,10.344315382038797,0.1379737181634336,0.8515922932377639
2013-01-22,13,7.277056486512289,0.47691195945730924,0.6915067916547338
2013-01-23,14,10.30819008195115,0.3076508265040709,0.7929253923910007
2013-01-24,15,10.311694757759238,0.3906921035200635,0.7569143256797558
2013-01-25,16,10.319342405948438,0.47338813283763015,0.6798143680892366
2013-01-28,17,17.0,0.0,0.6969847639033264
2013-01-29,18,11.963210974594695,0.5030657521171088,0.7854350753649082
2013-01-30,19,11.977558484045836,0.5852034596628469,0.791047496489953
2013-01-31,20,11.767586812726572,0.6860344322727857,0.8462178848139249
2013-02-01,21,11.995157379865486,0.7504035516778762,0.8816457838866424
2013-02-04,22,11.979886032851853,0.8350094972623455,0.9419272490439061
2013-02-05,23,11.061055607656124,0.994912032695323,0.9778199168365939
2013-02-06,24,24.0,0.0,0.9974257575021386
2013-02-07,25,23.047804940154897,0.16268292165375856,0.9799240000786037
2013-02-08,26,23.00064959581215,0.24994586701565424,0.8936865250042929
2013-02-11,27,23.250382969294755,0.3124680858921038,0.9792545126250911
2013-02-12,28,23.02600986633589,0.41449917780534246,0.9707464490813101
2013-02-13,29,23.010916446932946,0.4990902960889212,0.9280706170406017
2013-02-14,30,23.02046745213397,0.581627712322169,0.9101809855278605
2013-02-15,31,23.351838159338485,0.6373468200551263,0.8327359881145233
2013-02-19,32,21.73546729282513,0.8553777255979057,0.9510770324947487
2013-02-20,33,30.93539104855098,0.17205074595408507,0.6954851097778167
2013-02-21,34,27.72248265682149,0.5231264452648757,0.6734423841811215
2013-02-22,35,27.872975028579695,0.5939187476183587,0.7383786805757298
2013-02-25,36,27.107247124015153,0.7410627396654039,0.8331362902770835
2013-02-26,37,30.98071723307621,0.5016068972436493,0.8952569031073295
2013-02-27,38,26.000071776659603,0.9999940186116998,0.9035952341931217
2013-02-28,39,34.670540736065504,0.3607882719945413,0.7849889829413882
2013-03-01,40,39.999971771382505,2.3523847912561755e-06,0.9050731736531249
2013-03-04,41,39.006325372753246,0.16613955227056287,0.8746305925679745
2013-03-05,42,39.014416166984375,0.24879865275130206,0.7767893125257171
2013-03-06,43,33.07424871828118,0.8271459401432347,0.808938555746315
2013-03-07,44,39.301387385406414,0.39155105121613215,0.8918273185211537
2013-03-08,45,NA,NA,NA
2013-03-11,46,39.062703307134505,0.5781080577387913,0.8720044156396612
2013-03-12,47,40.99404351325096,0.5004963738957535,0.580461467292479
2013-03-13,48,40.769457658323844,0.6025451951396796,0.6577845115587773
2013-03-14,49,40.94278704847465,0.6714344126271126,0.7127181437365357
2013-03-15,50,40.9582927842913,0.7534756013090581,0.7823668199527398
2013-03-18,51,47.196363649144004,0.31696969590466634,0.9834689630003511
2013-03-19,52,40.00000422459057,0.9999996479507859,0.8622019510727448
2013-03-20,53,47.93156071449603,0.4223699404586642,0.7801394042626262
2013-03-21,54,47.716638360509435,0.5236134699575471,0.8268927440471736
2013-03-22,55,47.58566917922566,0.6178609017311949,0.8433439649227179
2013-03-25,56,47.955584109773746,0.6703679908521879,0.7992586240103802
2013-03-26,57,47.46723801491752,0.7943968320902067,0.8105562380871947
2013-03-27,58,46.005444740530756,0.999546271622437,0.516991733806668
2013-03-28,59,52.65609695914719,0.528658586737734,0.5610907056158623
2013-04-01,60,50.14749309512534,0.8210422420728882,0.92058037187553
2013-04-02,61,49.98422508390453,0.9179812430079556,0.7462987921899873
2013-04-03,62,59.11156126519376,0.24070322790052026,0.8369362694285624
2013-04-04,63,58.99751555016645,0.3335403708194627,0.7290330797793362
2013-04-05,64,58.968671251162576,0.419277395736452,0.704772781081801
2013-04-08,65,58.98789756362667,0.5010085363644444,0.77017779293239
2013-04-09,66,54.00027565698446,0.999977028584628,0.6376032456001239
