date,t,cp_location,cp_location_norm,cp_score
2013-07-03,126,66.04950774504162,0.47579755757903475,0.9105278245763648
2013-07-05,127,58.002489010478556,0.5475992935676305,0.8787714527710558
2013-07-08,128,66.0008865849986,0.4920564556746143,0.9108400945382488
2013-07-09,129,47.00630860345656,0.6507435825122495,0.8452084545903285
2013-07-10,130,54.00803291685162,0.603110849866257,0.8539420674596062
2013-07-11,131,58.00047286577137,0.579361326462132,0.8303011278402406
2013-07-12,132,54.013109125986546,0.6189435783651861,0.8121104412596978
2013-07-15,133,66.00287222379916,0.5317232363190543,0.8258927484629653
2013-07-16,134,84.69338692092397,0.3913223260244129,0.8831034363933237
2013-07-17,135,84.18579755902718,0.4032873209601017,0.8711103494797258
2013-07-18,136,100.01440044784131,0.2855999964457039,0.7828776006430804
2013-07-19,137,83.81974939714236,0.42206548097506064,0.860317147234029
2013-07-22,138,83.47439688679468,0.43274288185083587,0.8520273889930142
2013-07-23,139,83.06482685063044,0.44392994562991717,0.8444037048814893
2013-07-24,140,83.11951872263111,0.45143239109022926,0.8481947901681248
2013-07-25,141,82.77894247738266,0.46207188510013764,0.8437454624249988
2013-07-26,142,82.49777005067742,0.47223992023271893,0.8400119786236477
2013-07-29,143,82.45976868676131,0.4804780262955452,0.8433881711650961
2013-07-30,144,72.98848754617109,0.5635834321732454,0.6707688441693958
2013-07-31,145,72.99076091524746,0.571501897498036,0.6936733896048557
2013-08-01,146,72.98860388066225,0.5794555247566487,0.7151477408962397
2013-08-02,147,72.9851904253532,0.587419123608308,0.736095019016543
2013-08-05,148,72.99108541994329,0.595308845873466,0.759084892945626
2013-08-06,149,81.24316214303266,0.5377526814045027,0.8520854159659763
2013-08-07,150,81.03697279932197,0.5473256127037939,0.8559886144685422
2013-08-08,151,80.98683019388947,0.555660077826274,0.8619039146953253
2013-08-09,152,81.48875170542522,0.5596130817029745,0.8168732782720677
2013-08-12,153,81.59995753182442,0.5666670037156792,0.8099081441006563
2013-08-13,154,81.48028812499953,0.5755532688492101,0.809101259179126
2013-08-14,155,81.26899752288877,0.5851666863262797,0.8124807095660113
2013-08-15,156,81.55287095045512,0.5908502305519435,0.8210196318420435
2013-08-16,157,81.31505781011644,0.6006741443641552,0.8238507094849521
2013-08-19,158,99.00758139940815,0.4681937984173956,0.6014657484100357
2013-08-20,159,99.00771236570515,0.47612926693884805,0.5955794225778208
2013-08-21,160,99.00748189144429,0.48406760403615645,0.5987570323143436
2013-08-22,161,98.53143172779171,0.49578228787466894,0.6292101759054123
2013-08-23,162,98.49344338437058,0.5040202906002335,0.6255894364879926
2013-08-26,163,99.00503287663221,0.5078965644711729,0.5896189505841235
2013-08-27,164,99.00903644946197,0.5158012980201431,0.5936048873300892
2013-08-28,165,103.03931747465735,0.4917514486138305,0.5972686939707611
2013-08-29,166,103.0243409181355,0.49980681811003574,0.6027331666313878
2013-08-30,167,101.71873426713653,0.5181052835941545,0.5267775757324187
2013-09-03,168,106.99566707971695,0.4841613723831988,0.5985083109027136
2013-09-04,169,106.99858766102881,0.492074701102946,0.6003857132733106
2013-09-05,170,107.01705323680513,0.499864656850753,0.6135052121055999
2013-09-06,171,105.70081344139396,0.5182475123698892,0.5581877799478397
2013-09-09,172,105.7933037611972,0.5254499701492287,0.5500489231699103
2013-09-10,173,106.99816969613676,0.5238240500306607,0.6327963170223209
2013-09-11,174,117.6899418023562,0.4469052237908238,0.9724311440168156
2013-09-12,175,105.80055723291369,0.5492019267229072,0.5573037988055414
2013-09-13,176,105.65087346595519,0.5583264010638477,0.5770116591276657
2013-09-16,177,106.99449171205305,0.5555992721265631,0.6413452131356328
2013-09-17,178,117.78085728839848,0.47792970406032953,0.9792534404662688
2013-09-18,179,121.94513933548843,0.45281635448025054,0.9729056196605141
2013-09-19,180,122.0311017830845,0.46007062076917066,0.9794341736286277
2013-09-20,181,122.00955836790797,0.4681781081912066,0.9830185870011916
2013-09-23,182,128.29105307294037,0.4262614835480923,0.9727830382591253
2013-09-24,183,122.1462626080536,0.48296616977735235,0.9697841404580538
2013-09-25,184,122.07691600379204,0.4914530475889521,0.9751807192857153
2013-09-26,185,122.16895394213313,0.4986590956973561,0.9784738867810199
2013-09-27,186,128.05148089618325,0.4599088817763234,0.9765740757447816
2013-09-30,187,122.06720824843416,0.5153396170759194,0.9813056702428914
2013-10-01,188,122.20515046930757,0.5221813454816859,0.9783148159321655
2013-10-02,189,122.72485823126095,0.525993188640786,0.9786910779034564
2013-10-03,190,117.7438606400836,0.5734614234914001,0.9802408231260296
2013-10-04,191,121.75922593824859,0.5495299528710429,0.9664711954023826
2013-10-07,192,122.9997701963472,0.5476208714575619,0.9729871507108457
2013-10-08,193,122.9630534028774,0.555848782516846,0.9756089043194675
2013-10-09,194,122.19268735163006,0.5698993067330947,0.9689715871151707
2013-10-10,195,122.71428167955176,0.5736961771464146,0.9494191647670686
2013-10-11,196,122.69933818970472,0.5817512842086927,0.9565311858492069
2013-10-14,197,122.71717395513636,0.5895462384512987,0.9340282340293471
2013-10-15,198,141.9143624519482,0.4451241075242207,0.9441915604729723
2013-10-16,199,122.05456920046191,0.6106780222185563,0.7822197503500737
2013-10-17,200,143.24200122502538,0.45046030773789386,0.9105679012549851
2013-10-18,201,122.98239104508642,0.6191873726580444,0.8441001958180239
2013-10-21,202,122.88905935477985,0.627864608295398,0.8672567680332679
2013-10-22,203,122.91309070018625,0.6356103912683632,0.8658785347118777
2013-10-23,204,122.86053035059513,0.6439640448365466,0.887226421374065
