date,t,cp_location,cp_location_norm,cp_score
2013-01-02,12,11.15455833931463,0.07045347172378087,0.9039810814510594
2013-01-02,13,7.930056844650345,0.4224952629458046,0.7604936109172094
2013-01-02,14,9.03948942110439,0.4133758815746342,0.9812333719439943
2013-01-02,15,9.03511605864879,0.49707366177926754,0.942301685724244
2013-01-02,16,9.03370197341437,0.5805248355488025,0.8702841452335568
2013-01-02,17,9.02829032691725,0.6643091394235624,0.8392030579379081
2013-01-02,18,14.211899967924715,0.3156750026729404,0.9497085799891598
2013-01-02,19,14.093703003209619,0.4088580830658651,0.9788463930662865
2013-01-02,20,15.514371219238114,0.3738023983968238,0.9822989190161768
2013-01-03,21,16.603904064483775,0.36634132795968544,0.9990449495092444
2013-01-03,22,10.000013248066528,0.999998895994456,0.9992303528063716
2013-01-03,23,13.096973002289452,0.8252522498092123,0.9957078439013787
2013-01-03,24,12.000122642070217,0.9999897798274819,0.9954880790887206
2013-01-03,25,23.081977573903806,0.1598352021746828,0.8518887298535649
2013-01-03,26,22.151763155023193,0.32068640374806723,0.8604143011393013
2013-01-03,27,22.96109990735839,0.3365750077201343,0.9377030053453015
2013-01-03,28,22.960649820360565,0.41994584830328624,0.9347453089958422
2013-01-03,29,22.99980227279061,0.5000164772674491,0.924212868233335
2013-01-03,30,22.958951968427577,0.5867540026310353,0.8418427749862104
2013-01-03,31,21.891856897216325,0.7590119252319729,0.9919388213016235
2013-01-03,32,27.076521919294045,0.41028984005882957,0.604306735745689
2013-01-04,33,27.06468205196635,0.4946098290028041,0.6607097119244777
2013-01-04,34,33.01294796405816,0.08225433632848696,0.9521514987824026
2013-01-04,35,33.06081884337111,0.16159842971907423,0.8780352065610016
2013-01-04,36,33.081613391842176,0.24319888401315204,0.7942435968280416
2013-01-04,37,33.166306583640775,0.31947445136326874,0.898098590790821
2013-01-04,38,33.19702003333255,0.40024833055562087,0.8895684433701537
2013-01-04,39,33.13685163920005,0.4885956967333289,0.8384019923582485
2013-01-04,40,34.98634043651179,0.4178049636240176,0.995376734364571
2013-01-04,41,34.99543321850565,0.5003805651245289,0.9974291370924859
2013-01-07,42,38.639950939870644,0.280004088344113,0.9613042149437594
2013-01-07,43,37.310242914883034,0.4741464237597472,0.9868760321843824
2013-01-07,44,34.95119745503996,0.75406687874667,0.9878411601949386
2013-01-07,45,34.947284826046825,0.8377262644960979,0.9977943701552721
2013-01-07,46,34.97705904435109,0.9185784129707427,0.9994621952031811
2013-01-07,47,41.31948505527633,0.47337624539363904,0.8239993910445069
2013-01-07,48,41.65129608559736,0.5290586595335535,0.9383683420334563
2013-01-07,49,38.005569857726904,0.9162025118560914,0.9689487725976468
2013-01-07,50,41.59393228541744,0.7005056428818802,0.8670986910325827
2013-01-08,51,46.6271226690625,0.36440644424479157,0.5961399679544521
2013-01-08,52,50.618687560849665,0.11510936992919459,0.9529907888304328
2013-01-08,53,50.08710881630939,0.24274093197421762,0.9105588152096421
2013-01-08,54,49.002394293712634,0.41646714219061387,0.849560720785782
2013-01-08,55,49.00217300420337,0.49981891631638575,0.7757175272284581
2013-01-08,56,48.66658965525031,0.6111175287291406,0.9694299410584206
2013-01-08,57,46.00095637905263,0.9165869684122807,0.6857571791839594
2013-01-08,58,52.680660979276084,0.44327825172699303,0.8315535385665954
2013-01-08,59,52.970726470485324,0.5024394607928896,0.7702693986042524
2013-01-08,60,52.98200856912358,0.5848326192397018,0.8686908399812416
2013-01-09,61,57.56849266969644,0.2859589441919634,0.7370305191159536
2013-01-09,62,55.58023191077304,0.5349806741022469,0.7186129029254444
2013-01-09,63,51.0000409356279,0.9999965886976749,0.7692219760916292
2013-01-09,64,63.99999444960886,4.6253259474345515e-07,0.9473467854722522
2013-01-09,65,58.93839268406864,0.5051339429942802,0.9970255810385219
2013-01-09,66,57.96535702510567,0.6695535812411944,0.990262312282172
2013-01-09,67,57.84686581673439,0.7627611819388006,0.9929087940806042
2013-01-09,68,57.7150104540689,0.8570824621609248,0.9921212917867963
2013-01-09,69,57.856453067020055,0.928628911081662,0.9049873525908801
2013-01-09,70,60.05389873579234,0.8288417720173052,0.7010531920615605
2013-01-09,71,69.87224984865824,0.0939791792784798,0.8777821084199544
2013-01-10,72,65.81636767500025,0.5153026937499791,0.7634600519894489
2013-01-10,73,65.11995787906,0.6566701767450004,0.760697134231773
2013-01-10,74,65.62144104624544,0.6982132461462136,0.6402470302896757
2013-01-10,75,65.93540442865385,0.7553829642788455,0.7555670020428931
2013-01-10,76,65.07784132862253,0.9101798892814562,0.8176591682654067
2013-01-10,77,71.01901032995607,0.4984158058369938,0.5899376670227088
2013-01-10,78,71.44671508252169,0.5461070764565257,0.5301609197004495
2013-01-10,79,69.65919533489759,0.7784003887585342,0.5375149271187095
2013-01-10,80,77.18587833428106,0.23451013880991192,0.993601485054961
2013-01-11,81,80.08829875638806,0.07597510363432865,0.7082214800148032
2013-01-11,82,80.00788864212738,0.16600927982271804,0.7009959297173087
2013-01-11,83,78.75420369438237,0.3538163588014693,0.6456451499484708
2013-01-11,84,74.99202601859969,0.750664498450026,0.6014259369440333
2013-01-11,85,74.65665533166127,0.8619453890282275,0.6329072826691405
2013-01-11,86,74.00119285051521,0.9999005957903991,0.5740979968219151
2013-01-11,87,83.0713149368118,0.3273904219323498,0.9052328795427317
2013-01-11,88,86.34422048842153,0.13798162596487273,0.9925020249821126
2013-01-12,89,84.64278519236044,0.36310123396996374,0.9866981822460664
2013-01-14,90,83.31877711728853,0.5567685735592889,0.8753628977535086
