date,t,cp_location,cp_location_norm,cp_score
2013-01-02,12,8.08863084628291,0.32594742947642413,0.9437735740235043
2013-01-02,13,8.072915547943538,0.4105903710047052,0.992967337463239
2013-01-02,14,8.08620065173686,0.4928166123552617,0.9806000328406224
2013-01-02,15,8.060545801771761,0.5782878498523533,0.957276228243628
2013-01-03,16,11.588931736944359,0.36758902192130344,0.9216475070472743
2013-01-03,17,11.607585258921016,0.4493678950899153,0.9653310651696673
2013-01-03,18,12.805758529203064,0.4328534558997446,0.9956642622689305
2013-01-03,19,11.193874725087749,0.650510439576021,0.9969968018144958
2013-01-03,20,8.00000000023674,0.9999999999802717,0.9993490970988036
2013-01-03,21,9.00013376487943,0.9999888529267141,0.9999054985827642
2013-01-03,22,18.034220672539135,0.33048161062173875,0.780672239672207
2013-01-03,23,18.021648418980654,0.4148626317516122,0.7901539272113942
2013-01-03,24,18.022242244718214,0.4981464796068155,0.845380145152923
2013-01-04,25,18.046181899532414,0.5794848417056322,0.9237213262682905
2013-01-04,26,17.896031700199753,0.6753306916500206,0.7646934105018509
2013-01-04,27,18.089563314875708,0.7425363904270244,0.7185118927537586
2013-01-04,28,18.059146475475398,0.8284044603770502,0.9404768751850947
2013-01-04,29,24.00867144119233,0.4159440465673058,0.90389247443017
2013-01-04,30,23.996538927241957,0.5002884227298369,0.8680125152408231
2013-01-04,31,28.004249441298455,0.2496458798917954,0.9184843990716833
2013-01-04,32,30.17162361982929,0.15236469834755914,0.9949574250938898
2013-01-07,33,27.873862194098784,0.427178150491768,0.8905191475151384
2013-01-07,34,27.982696045268227,0.5014419962276477,0.8843944067971582
2013-01-07,35,27.909167904468,0.5909026746276668,0.8744517392420075
2013-01-07,36,27.986442145908963,0.6677964878409197,0.7849214296143445
2013-01-07,37,27.76708794297943,0.7694093380850475,0.8863539856538156
2013-01-07,38,27.94583803968693,0.8378468300260892,0.7802992324488063
2013-01-07,39,27.00000000010001,0.9999999999916659,0.7793840675559611
2013-01-07,40,38.01469878212919,0.16544176815590106,0.713534712771823
2013-01-08,41,38.332350907108506,0.2223040910742912,0.692355943608971
2013-01-08,42,38.00051865539619,0.33329011205031733,0.6747277742408119
2013-01-08,43,38.017724544932356,0.41518962125563696,0.6500437634914861
2013-01-08,44,38.019397463518935,0.49838354470675544,0.6268567801939113
2013-01-08,45,37.251312265081935,0.6457239779098387,0.6098840289956216
2013-01-08,46,39.93400424619667,0.5054996461502773,0.5525549197349556
2013-01-08,47,39.999503130209874,0.5833747391491771,0.579157138546298
2013-01-09,48,41.97236577974406,0.502302851687995,0.6086722794813213
2013-01-09,49,47.0288157790459,0.16426535174617504,0.6798286949279161
2013-01-09,50,45.9712943138705,0.3357254738441249,0.6666194713942298
2013-01-09,51,45.59673928729532,0.45027172605872323,0.7041282774608522
2013-01-09,52,45.44499268715005,0.5462506094041627,0.6525455214904239
2013-01-09,53,45.2725238421279,0.6439563464893414,0.7441495448313739
2013-01-09,54,49.99775579157143,0.33352035070238095,0.987624275789942
2013-01-09,55,50.06598012534487,0.4111683228879273,0.9876575270856489
2013-01-10,56,55.940037243083275,0.004996896409727114,0.9795367049294545
2013-01-10,57,55.46419383130838,0.12798384739096846,0.9972210131265884
2013-01-10,58,55.15503131258935,0.23708072395088742,0.995392079451321
2013-01-10,59,55.53071491152097,0.2891070907065861,0.988356508197073
2013-01-10,60,55.53073560446987,0.372438699627511,0.9815583203311841
2013-01-10,61,55.02342533108606,0.4980478890761617,0.9828424292501976
2013-01-10,62,54.61461232886917,0.6154489725942357,0.9991811131434732
2013-01-10,63,58.99933342059852,0.3333888816167902,0.9779436332150078
2013-01-11,64,58.98037468170848,0.41830210985762645,0.8864537817869911
2013-01-11,65,58.986737505707836,0.5011052078576803,0.9493532037551742
2013-01-11,66,58.96854686314567,0.5859544280711942,0.9725080948132108
2013-01-11,67,58.964482121796514,0.6696264898502905,0.990639594428739
2013-01-11,68,66.49162589289614,0.12569784225865513,0.9998652122584667
2013-01-11,69,58.462476466163146,0.8781269611530712,0.9966729733297657
2013-01-11,70,58.999101288885925,0.9167415592595063,0.9620276689673225
2013-01-14,71,66.98585017528681,0.3345124853927655,0.7142305332844743
2013-01-14,72,66.81304564172224,0.4322461965231466,0.8053576025364773
2013-01-14,73,68.3412030166618,0.3882330819448505,0.6983814102068231
2013-01-14,74,68.88285193499685,0.42642900541692913,0.734590875205546
2013-01-14,75,70.05762876740586,0.4118642693828451,0.7820490535063654
2013-01-14,76,69.07683368908835,0.5769305259093045,0.7474597767879259
2013-01-14,77,70.78746788599767,0.5177110095001941,0.9920238844809157
2013-01-15,78,78.0,0.0,0.9992139457111359
2013-01-15,79,74.66881683812947,0.36093193015587727,0.9998097635740032
2013-01-15,80,71.40633185064776,0.71613901244602,0.9981280400139
2013-01-15,81,70.91892254992489,0.8400897875062595,0.9990716733890286
2013-01-15,82,72.55257727414671,0.7872852271544405,0.9038324200042633
2013-01-15,83,76.93555469834172,0.5053704418048568,0.8257799114386877
2013-01-15,84,76.06943943463202,0.6608800471139986,0.7558715871097119
2013-01-15,85,83.81871903820515,0.09844008014957122,0.9943067643096387
2013-01-16,86,85.99999994112072,4.9066066765135474e-09,0.7065396547571005
2013-01-16,87,80.71145311537103,0.5240455737190809,0.6288795654315312
2013-01-16,88,79.9842526134663,0.6679789488778086,0.6960864933310773
2013-01-16,89,79.99163105457711,0.750697412118574,0.7728999528325126
2013-01-16,90,79.16516075961792,0.9029032700318401,0.8264329528545096
2013-01-16,91,79.00062185340391,0.9999481788830072,0.6039716595765927
